experiment_id,model,workload,xgb_mape,xgb_mspe,xgb_r,xgb_p99,bb_mape,bb_mspe,n_test
20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen,33.42469030419768,19.269938115389774,0.49039582013396865,174.02719049864533,69.6996502665903,43.47779193605354,3117
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,30.897250999528055,11.302778904670866,0.8824878665708771,72.13963243606243,40.26655479451453,18.540421669287532,3043
20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning,12.989744761138116,8.956526175750271,0.6081378320918341,152.1536803833408,123.52699859014025,105.84190843979621,993
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,55.44604089613935,32.56312876137263,0.21717116976891732,738.5328220225288,61.154177880328795,18.128183042575095,1199
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,31.092550166645854,14.357614437860585,0.7065361107822856,127.13286654929595,90.75831902128996,50.839045956043314,1336
20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general,50.87802786654777,-50.444147233974526,0.3182112488007879,70.13899110989438,72.90086797881466,-72.78165242583903,2253
20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b-hf,reasoning,9.763125798466065,3.8683510695671974,0.9500019744018267,88.85355495068106,14.152042966594347,11.181446954034406,889
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,28.347985947625574,13.941946455164247,0.8017602098772548,150.80476187953286,128.55334355597142,21.34078699781551,1348
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,14.705283155721283,3.99909992037494,0.27061733958381834,63.53871042929607,19.04882591278666,5.37892427561011,1309
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,9.064043579263954,0.7985241061570397,0.7838532099456555,34.69990409684743,9.158991332998534,0.6886782228396027,1174
20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning,62.384288398571265,52.581179639035255,0.826223859105253,870.9833552505144,222.83510080871577,-147.3618251419228,735
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,28.292368428408505,14.47981834916435,0.659975126327225,124.63277895490381,33.603419996298754,17.378232815799052,1336
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,121.4780723129017,95.06202707913721,0.43461952553525884,1177.0269094614691,151.06270494181769,118.13285071125767,1488
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,16.12079895469492,3.863704842685217,0.4475052917141967,67.6388658227848,21.612096488707806,7.840662092087645,1643
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,25.692198759160412,9.618437454495794,0.7295798952054634,85.95754898505415,30.7530150329809,14.757966501333938,1688
20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning,13.989923293673465,2.0573377513648508,0.9200618797998552,198.0118881118881,37.265411860213554,-31.95370726153991,999
